Country,Year,Capital,Growth,Labor,Wage,Investment,Ide
A,0,0.5737664089934411,1.189975587942462,3.4645163065777185,1.5062887192711862,1.425110847877234,3.9481397697012
A,1,-0.2780457366856571,1.807135852331463,3.166686752908558,2.2299724931832676,4.494013471074686,3.221151423154886
A,2,-0.805318473736514,-0.195598826299607,4.425449023379257,2.2856642914540113,0.33006362515626475,1.0457824115731489
A,3,0.6785683079688742,1.01774769415903,1.5783745862961147,2.68634268305169,4.935299241506915,3.997186452538372
A,4,0.4588621848679469,1.096221159709326,3.36847000890706,1.0637057743300395,3.217869991214418,1.1866345304180654
A,5,1.760410125498417,3.156600123811958,1.936064881400327,2.8336568268038174,0.5113555911974155,2.114659865420679
A,6,-0.139865815947552,1.91050041267965,1.8244927941398452,0.8229024610491631,3.6319707995462216,4.332800904547509
A,7,0.1139794187583001,1.096198117907063,2.8441348621871625,2.3975417862161286,1.5473457896782898,4.0265502863773195
A,8,-0.1672830631238296,1.308458162508879,0.7867537677793437,4.845609167782181,4.560828842131706,4.506162768829867
A,9,0.6200744662184141,2.400960861374005,4.026369701355105,3.0532979476329714,3.9139999365316127,0.21820334908991673
B,0,0.1053134505851109,-1.674302841178143,0.2494803845347045,2.4107296164877976,4.677450875358786,2.674337343431389
B,1,-0.1288476831305641,-2.258943929363142,2.8935579218299905,4.737457319540663,2.877401045060351,1.1149466500785228
B,2,-2.332970800913323,-5.370392038789626,4.551810210035875,3.696986661138756,2.378522833598453,4.194911591978607
B,3,-0.9175596124155744,-7.544552337498605,0.4327353692474949,4.683714070897704,0.25260605403227,4.2218833304093435
B,4,0.4647912930623215,-5.044647143435007,2.0722278205875737,2.160645563765481,4.098172864134733,3.088703877743013
B,5,-0.3757207982206349,-3.808667975182311,0.6859437567536111,2.857893456346242,3.5082751974543087,2.1050101354019337
B,6,-1.153353631529151,-4.036025288045412,3.0911430469350742,1.7509181581579236,1.7888078480520848,1.4622630863134072
B,7,0.5010982916267819,-5.060506664079618,2.7238469799931213,0.9807989182734844,1.5945487371223894,3.744218068181839
B,8,0.3160207958561647,-4.224545198638744,3.1603608358519684,4.515025488463649,1.6811747859239323,2.577651839619475
B,9,-1.33825491094725,-6.913887214791558,1.77273094724318,1.2341891357795012,3.275562755130872,3.422918050863338
C,0,-0.452182329320395,0.0224156434769387,1.4904571981804764,4.842411241726185,4.843279843269084,1.3942150679804524
C,1,-1.364842119480389,-3.150018492337164,4.436738323251356,3.044661669451617,1.317318652834452,1.4448193817533983
C,2,1.93029220151618,-0.07591332545038809,3.6841914335359705,1.788390586598809,4.0624824482739035,4.824961404233982
C,3,0.6105967627101189,0.403259457861078,2.3604647417263247,0.8802997664625296,2.3199063336167836,3.4516459175040035
C,4,-1.000882243268737,-2.444880073155335,1.8255352910689844,1.041001110925531,4.372300281437311,4.481620419771556
C,5,-0.05670324440921637,-3.630615191409249,4.516369151403309,3.1167263347515615,4.11719324207693,1.4269813459279481
C,6,-0.6392130792531546,-3.324908962582665,4.724133278504089,2.4045098187511083,4.896661048250948,2.0311509088399426
C,7,1.078681011688843,-2.961864206102526,3.2771594468536467,4.483757123460975,1.7297107450531943,1.3775984121468052
C,8,1.404042855975829,-1.536939197443575,1.9103075384000643,1.334764718880068,1.600335289975913,3.6258356645518766
C,9,-0.7079878666062358,-2.956921003278982,1.665378850177088,2.963914476894863,3.1596235939332824,4.41333363471644
D,0,-1.519249454263677,-3.96630169751125,4.728047705101159,1.0330326281319266,4.2541808228708575,2.386611443940572
