Country,Year,Growth,Capital
1,1,-0.3116484688893657,1.668588257140302
1,2,-2.448210488221922,-0.7162316894093779
1,3,-0.1503494740581033,0.0893207752231544
1,4,-0.4461532524587848,-0.2153053157523702
1,5,-0.9728907225607498,0.8255506259448178
1,6,-2.406969676044537,-0.2206821147693721
1,7,-1.831291403180708,-0.6639058638273511
1,8,-1.296463859247006,-0.7102288422335717
1,9,-2.48594457418355,-0.5033873627431728
1,10,0.330452226879098,0.9818851333653837
1,11,1.039054271234524,0.3731909981946575
1,12,1.05261456610302,-0.7889529434339451
1,13,0.445671440692661,-0.2352397825778337
1,14,0.8087273667657444,0.7451340391140846
1,15,-1.150342874634468,0.2703627674522615
1,16,3.924976257329996,1.544556936732297
1,17,0.04188072605363913,-1.233112272388436
1,18,-2.884038754514435,-1.367648495634266
1,19,-4.737810437378336,-2.221979777741144
1,20,1.990335275803288,1.889969707254853
2,1,5.81291609106719,1.929494284375009
2,2,4.212413520006505,0.1207010874496817
2,3,1.233431709983912,0.4837219505950991
2,4,-2.186203448768844,-0.1862579208387485
2,5,-1.521902439809482,-0.0187008296559108
2,6,1.702317743201821,1.301898783111607
2,7,-0.276564434859622,0.2571261253794999
2,8,6.030581741696961,2.678662133465759
2,9,-0.7516543228385609,-1.803929639725738
2,10,3.055707201543647,2.602225763577328
2,11,3.814350372487122,1.76842184538127
2,12,0.4312500274855304,-1.034043580330134
2,13,-3.181780826529236,-0.5413990254295077
2,14,-3.495776939207156,-0.07581041435232277
2,15,-4.13055215574969,-0.6444495591549255
2,16,-2.536076854123355,-0.2039212920823092
2,17,-4.357356317724859,-0.6637646474163563
2,18,-0.2850337801322514,2.535410922435109
2,19,1.563456211381971,1.398553135644931
2,20,2.58976464721583,2.571614762094164
3,1,-2.256750941555882,1.379497183262309
3,2,-3.128612908854053,-1.630317112015575
3,3,-1.809526741793868,-0.3947763865650479
3,4,-2.480170105912507,-2.664921117033441
3,5,-0.5246620569237256,0.4037962272562799
3,6,-1.542134185777251,0.3485616747421357
3,7,-0.7341787942631433,-0.5513712859763865
3,8,-0.207299175913466,0.8378557657379673
3,9,0.2227674313366019,1.193010250039233
3,10,0.5247397161582038,1.20558461358238
3,11,-2.09710006371836,-2.638041941538622
3,12,-1.639913051971699,-1.559734677748303
3,13,-2.307358517376257,-2.143034372135455
3,14,-1.349159377305257,-0.9977828612363149
3,15,-0.09715522183411873,-0.03878320705859861
3,16,-1.473379098945139,-1.471352780735517
3,17,-0.5638541395038413,-0.6859264005640666
3,18,-4.109266872797345,-1.291746816432453
3,19,-3.413814635353747,-1.468147423585096
3,20,-4.56371445412424,-1.426105792838835
4,1,5.972065065451309,3.529404672307034
4,2,2.239717996570223,0.239479875548491
4,3,-1.511081879259646,0.7005605728278721
4,4,-2.33350665798855,-0.01714386333423484
4,5,-0.7970161532510242,0.3476133006647291
4,6,0.4976716619199212,0.9742610070268618
4,7,0.2362601771688281,0.8222016895098592
4,8,0.1006244813343425,0.7838850982953844
4,9,1.990497348307045,2.190760869316586
4,10,2.16522766867713,0.7040761845111537
4,11,-1.339315389721781,0.4234295837980727
4,12,0.2305301224308401,0.6875801688796317
4,13,-1.606687429565233,1.336231028080365
4,14,-3.543407775623366,0.5801498032308344
4,15,1.971823398095367,1.882871250107322
4,16,0.6915764237466824,-0.8237004024526148
4,17,-1.587263856126908,0.8018260389945224
4,18,-0.4385297468308373,1.760735849710715
4,19,-0.8709510264948107,0.6331233068486855
4,20,3.978908739499831,2.453504617241147
5,1,3.8783845168281,1.277392695332343
5,2,2.351122932835112,-1.179553584277233
5,3,-0.9879049945905377,-1.911660375632283
5,4,-1.407131216870689,-1.422579558075755
5,5,-1.028437861945033,-0.3877983882813962
5,6,1.301162925800164,1.941210050508645
5,7,-0.09898463905607813,-1.054324324664669
5,8,1.1421810228132,0.3496407280931164
5,9,-0.5624306164967228,-0.2181990958343309
5,10,1.58397916867321,1.650295816674098
5,11,4.437100233496826,2.00045271032841
5,12,3.187275465875016,-0.540338489271158
5,13,-0.2227092396019762,-1.736967242296234
5,14,1.381387587363095,0.290974960283688
5,15,1.153123012977666,0.3961372567603544
5,16,2.293124721539487,1.371786352815747
5,17,0.3488774583010089,-0.01807698505341637
5,18,-1.359205869009015,-0.6249679802044259
5,19,0.8224803268655281,0.004713204760926737
5,20,0.7279709899573414,1.35994687925406
6,1,-3.171378066400413,-0.3270810278613681
6,2,-1.098909336864003,-0.009915563475500155
6,3,-1.229357611967628,-0.3832565216759602
6,4,-2.764715293087723,-1.291941933930085
